meter_id, Account ID,lp_kd,lp_ke,lp_scale,qty_type,lp_date,duration,event_ind,freq_lpdata,freq_ind,ch1_title,ch1_value,ch1_ind,ch2_title,ch2_value,ch2_ind,ch3_title,ch3_value,ch3_ind,ch4_title,ch4_value,ch4_ind,ch5_title,ch5_value,ch5_ind,ch6_title,ch6_value,ch6_ind,ch7_title,ch7_value,ch7_ind,ch8_title,ch8_value,ch8_ind,Avg_PF_Delivered,Avg_PF_Received,Average Phase A Voltage,Average Phase B Voltage,Average Phase C Voltage,Average Phase A Current,Average Phase B Current,Average Phase C Current
2781461,02781461,6.000000,1.500000,1,Demand,04/04/2025,00:00 to 00:15,,50.014,,KW del,6.000000,,KW rec,0.000000,,KVA Q1,6.000000,,KVA Q3,0.000000,,KVAR Q1,0.000000,,KVAR Q2,0.000000,,KVAR Q3,0.000000,,KVAR Q4,6.000000,,1.000000,0.000000,61.740800,60.755200,61.195200,0.001200,0.001200,0.000800
2781461,02781461,6.000000,1.500000,1,Demand,04/04/2025,00:15 to 00:30,,50.012,,KW del,6.000000,,KW rec,0.000000,,KVA Q1,6.000000,,KVA Q3,0.000000,,KVAR Q1,0.000000,,KVAR Q2,0.000000,,KVAR Q3,0.000000,,KVAR Q4,6.000000,,1.000000,0.000000,61.670400,60.702400,61.142400,0.001200,0.001200,0.000800
2781461,02781461,6.000000,1.500000,1,Demand,04/04/2025,00:30 to 00:45,,49.994,,KW del,12.000000,,KW rec,0.000000,,KVA Q1,12.000000,,KVA Q3,0.000000,,KVAR Q1,0.000000,,KVAR Q2,0.000000,,KVAR Q3,0.000000,,KVAR Q4,12.000000,,1.000000,0.000000,61.494400,60.526400,60.984000,0.001200,0.001200,0.000800
2781461,02781461,6.000000,1.500000,1,Demand,04/04/2025,00:45 to 01:00,,49.948,,KW del,6.000000,,KW rec,0.000000,,KVA Q1,6.000000,,KVA Q3,0.000000,,KVAR Q1,0.000000,,KVAR Q2,0.000000,,KVAR Q3,0.000000,,KVAR Q4,6.000000,,1.000000,0.000000,61.459200,60.491200,60.984000,0.001200,0.001200,0.000800
2781461,02781461,6.000000,1.500000,1,Demand,04/04/2025,01:00 to 01:15,,49.982,,KW del,12.000000,,KW rec,0.000000,,KVA Q1,12.000000,,KVA Q3,0.000000,,KVAR Q1,0.000000,,KVAR Q2,0.000000,,KVAR Q3,0.000000,,KVAR Q4,6.000000,,1.000000,0.000000,61.740800,60.790400,61.265600,0.001200,0.001200,0.000800
2781461,02781461,6.000000,1.500000,1,Demand,04/04/2025,01:15 to 01:30,,49.988,,KW del,6.000000,,KW rec,0.000000,,KVA Q1,6.000000,,KVA Q3,0.000000,,KVAR Q1,0.000000,,KVAR Q2,0.000000,,KVAR Q3,0.000000,,KVAR Q4,6.000000,,1.000000,0.000000,61.600000,60.632000,61.124800,0.001200,0.001200,0.000800
2781461,02781461,6.000000,1.500000,1,Demand,04/04/2025,01:30 to 01:45,,49.966,,KW del,6.000000,,KW rec,0.000000,,KVA Q1,6.000000,,KVA Q3,0.000000,,KVAR Q1,0.000000,,KVAR Q2,0.000000,,KVAR Q3,0.000000,,KVAR Q4,6.000000,,1.000000,0.000000,61.564800,60.596800,61.072000,0.001200,0.001200,0.000800
2781461,02781461,6.000000,1.500000,1,Demand,04/04/2025,01:45 to 02:00,,49.966,,KW del,12.000000,,KW rec,0.000000,,KVA Q1,12.000000,,KVA Q3,0.000000,,KVAR Q1,0.000000,,KVAR Q2,0.000000,,KVAR Q3,0.000000,,KVAR Q4,6.000000,,1.000000,0.000000,61.582400,60.614400,61.089600,0.001200,0.001200,0.000800
2781461,02781461,6.000000,1.500000,1,Demand,04/04/2025,02:00 to 02:15,,49.992,,KW del,6.000000,,KW rec,0.000000,,KVA Q1,6.000000,,KVA Q3,0.000000,,KVAR Q1,0.000000,,KVAR Q2,0.000000,,KVAR Q3,0.000000,,KVAR Q4,6.000000,,1.000000,0.000000,61.723200,60.720000,61.160000,0.001200,0.001200,0.000800
2781461,02781461,6.000000,1.500000,1,Demand,04/04/2025,02:15 to 02:30,,49.986,,KW del,12.000000,,KW rec,0.000000,,KVA Q1,12.000000,,KVA Q3,0.000000,,KVAR Q1,0.000000,,KVAR Q2,0.000000,,KVAR Q3,0.000000,,KVAR Q4,12.000000,,1.000000,0.000000,61.758400,60.737600,61.177600,0.001200,0.001200,0.000800
2781461,02781461,6.000000,1.500000,1,Demand,04/04/2025,02:30 to 02:45,,50.018,,KW del,6.000000,,KW rec,0.000000,,KVA Q1,6.000000,,KVA Q3,0.000000,,KVAR Q1,0.000000,,KVAR Q2,0.000000,,KVAR Q3,0.000000,,KVAR Q4,6.000000,,1.000000,0.000000,61.811200,60.808000,61.230400,0.001200,0.001200,0.000800
2781461,02781461,6.000000,1.500000,1,Demand,04/04/2025,02:45 to 03:00,,50.02,,KW del,6.000000,,KW rec,0.000000,,KVA Q1,6.000000,,KVA Q3,0.000000,,KVAR Q1,0.000000,,KVAR Q2,0.000000,,KVAR Q3,0.000000,,KVAR Q4,6.000000,,1.000000,0.000000,61.881600,60.860800,61.300800,0.001200,0.001200,0.000800
2781461,02781461,6.000000,1.500000,1,Demand,04/04/2025,03:00 to 03:15,,50.018,,KW del,12.000000,,KW rec,0.000000,,KVA Q1,12.000000,,KVA Q3,0.000000,,KVAR Q1,0.000000,,KVAR Q2,0.000000,,KVAR Q3,0.000000,,KVAR Q4,6.000000,,1.000000,0.000000,61.987200,60.984000,61.424000,0.001200,0.001200,0.000800
2781461,02781461,6.000000,1.500000,1,Demand,04/04/2025,03:15 to 03:30,,49.996,,KW del,6.000000,,KW rec,0.000000,,KVA Q1,6.000000,,KVA Q3,0.000000,,KVAR Q1,0.000000,,KVAR Q2,0.000000,,KVAR Q3,0.000000,,KVAR Q4,6.000000,,1.000000,0.000000,61.846400,60.878400,61.371200,0.001200,0.001200,0.000800
2781461,02781461,6.000000,1.500000,1,Demand,04/04/2025,03:30 to 03:45,,50.0,,KW del,12.000000,,KW rec,0.000000,,KVA Q1,12.000000,,KVA Q3,0.000000,,KVAR Q1,0.000000,,KVAR Q2,0.000000,,KVAR Q3,0.000000,,KVAR Q4,6.000000,,1.000000,0.000000,62.198400,61.195200,61.723200,0.001200,0.001200,0.000800
2781461,02781461,6.000000,1.500000,1,Demand,04/04/2025,03:45 to 04:00,,50.032,,KW del,6.000000,,KW rec,0.000000,,KVA Q1,6.000000,,KVA Q3,0.000000,,KVAR Q1,0.000000,,KVAR Q2,0.000000,,KVAR Q3,0.000000,,KVAR Q4,6.000000,,1.000000,0.000000,61.811200,60.755200,61.371200,0.001200,0.001200,0.000800
2781461,02781461,6.000000,1.500000,1,Demand,04/04/2025,04:00 to 04:15,,50.03,,KW del,12.000000,,KW rec,0.000000,,KVA Q1,12.000000,,KVA Q3,0.000000,,KVAR Q1,0.000000,,KVAR Q2,0.000000,,KVAR Q3,0.000000,,KVAR Q4,6.000000,,1.000000,0.000000,61.688000,60.632000,61.265600,0.001200,0.001200,0.000800
2781461,02781461,6.000000,1.500000,1,Demand,04/04/2025,04:15 to 04:30,,50.032,,KW del,6.000000,,KW rec,0.000000,,KVA Q1,6.000000,,KVA Q3,0.000000,,KVAR Q1,0.000000,,KVAR Q2,0.000000,,KVAR Q3,0.000000,,KVAR Q4,12.000000,,1.000000,0.000000,61.652800,60.596800,61.230400,0.001200,0.001200,0.000800
2781461,02781461,6.000000,1.500000,1,Demand,04/04/2025,04:30 to 04:45,,50.046,,KW del,6.000000,,KW rec,0.000000,,KVA Q1,6.000000,,KVA Q3,0.000000,,KVAR Q1,0.000000,,KVAR Q2,0.000000,,KVAR Q3,0.000000,,KVAR Q4,6.000000,,1.000000,0.000000,61.476800,60.420800,61.054400,0.001200,0.001200,0.000800
2781461,02781461,6.000000,1.500000,1,Demand,04/04/2025,04:45 to 05:00,,50.022,,KW del,12.000000,,KW rec,0.000000,,KVA Q1,12.000000,,KVA Q3,0.000000,,KVAR Q1,0.000000,,KVAR Q2,0.000000,,KVAR Q3,0.000000,,KVAR Q4,6.000000,,1.000000,0.000000,61.212800,60.121600,60.790400,0.001200,0.001200,0.000800
2781461,02781461,6.000000,1.500000,1,Demand,04/04/2025,05:00 to 05:15,,50.032,,KW del,6.000000,,KW rec,0.000000,,KVA Q1,6.000000,,KVA Q3,0.000000,,KVAR Q1,0.000000,,KVAR Q2,0.000000,,KVAR Q3,0.000000,,KVAR Q4,12.000000,,1.000000,0.000000,61.072000,59.998400,60.632000,0.001200,0.001200,0.000800
2781461,02781461,6.000000,1.500000,1,Demand,04/04/2025,05:15 to 05:30,,49.982,,KW del,6.000000,,KW rec,0.000000,,KVA Q1,6.000000,,KVA Q3,0.000000,,KVAR Q1,0.000000,,KVAR Q2,0.000000,,KVAR Q3,0.000000,,KVAR Q4,6.000000,,1.000000,0.000000,60.790400,59.752000,60.385600,0.001200,0.001200,0.000800
2781461,02781461,6.000000,1.500000,1,Demand,04/04/2025,05:30 to 05:45,,49.928,,KW del,12.000000,,KW rec,0.000000,,KVA Q1,12.000000,,KVA Q3,0.000000,,KVAR Q1,0.000000,,KVAR Q2,0.000000,,KVAR Q3,0.000000,,KVAR Q4,6.000000,,1.000000,0.000000,61.036800,60.033600,60.579200,0.001200,0.001200,0.000800
2781461,02781461,6.000000,1.500000,1,Demand,04/04/2025,05:45 to 06:00,,49.952,,KW del,6.000000,,KW rec,0.000000,,KVA Q1,6.000000,,KVA Q3,0.000000,,KVAR Q1,0.000000,,KVAR Q2,0.000000,,KVAR Q3,0.000000,,KVAR Q4,12.000000,,1.000000,0.000000,60.244800,59.206400,59.840000,0.001200,0.001200,0.000800
2781461,02781461,6.000000,1.500000,1,Demand,04/04/2025,06:00 to 06:15,,49.898,,KW del,12.000000,,KW rec,0.000000,,KVA Q1,12.000000,,KVA Q3,0.000000,,KVAR Q1,0.000000,,KVAR Q2,0.000000,,KVAR Q3,0.000000,,KVAR Q4,6.000000,,1.000000,0.000000,59.716800,58.643200,59.312000,0.003200,0.002400,0.002800
2781461,02781461,6.000000,1.500000,1,Demand,04/04/2025,06:15 to 06:30,,49.762,,KW del,6.000000,,KW rec,6.000000,,KVA Q1,12.000000,,KVA Q3,6.000000,,KVAR Q1,6.000000,,KVAR Q2,0.000000,,KVAR Q3,0.000000,,KVAR Q4,0.000000,,0.500000,1.000000,59.153600,58.097600,58.731200,0.006800,0.008000,0.007600
2781461,02781461,6.000000,1.500000,1,Demand,04/04/2025,06:30 to 06:45,,50.01,,KW del,0.000000,,KW rec,72.000000,,KVA Q1,0.000000,,KVA Q3,72.000000,,KVAR Q1,0.000000,,KVAR Q2,24.000000,,KVAR Q3,0.000000,,KVAR Q4,0.000000,,0.000000,1.000000,58.344000,57.270400,57.904000,0.007600,0.017200,0.013200
